LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,PRECTOT,QV2M,RH2M,PS,WS50M_RANGE,WS10M_RANGE,WS50M,WS10M,T2M_RANGE
52.22961,21.01811,2015,01,01,    1.19,   -0.74,    0.11,    0.83,    3.64,   95.86,  101.22,    2.05,    1.79,    7.64,    5.64,    1.94
52.22961,21.01811,2015,01,02,    2.67,   -0.64,    1.34,    1.40,    3.89,   92.70,  100.07,    8.08,    5.94,   12.18,    9.06,    3.31
52.22961,21.01811,2015,01,03,    2.55,    0.23,    1.53,    2.31,    3.87,   90.51,   99.53,    5.95,    4.61,   15.00,   11.33,    2.31
52.22961,21.01811,2015,01,04,    1.95,   -0.00,    0.54,    0.57,    3.40,   85.08,   99.30,    2.94,    2.15,   12.48,    9.39,    1.95
52.22961,21.01811,2015,01,05,    1.30,   -4.00,   -1.53,    0.23,    2.91,   85.77,  100.27,    3.52,    2.58,    9.90,    7.40,    5.29
52.22961,21.01811,2015,01,06,   -4.85,  -12.59,   -8.29,    0.01,    1.43,   70.87,  101.42,    3.46,    3.70,    6.30,    4.25,    7.73
52.22961,21.01811,2015,01,07,   -7.30,  -13.55,   -9.90,    0.34,    1.30,   73.81,  101.69,    3.54,    3.80,    7.84,    6.03,    6.25
52.22961,21.01811,2015,01,08,   -0.28,   -7.38,   -3.54,    1.92,    2.68,   91.98,  100.90,    5.35,    5.41,    8.04,    5.71,    7.10
52.22961,21.01811,2015,01,09,    2.57,   -1.11,    1.34,   10.24,    4.03,   94.96,   99.10,    5.56,    4.21,   13.61,   10.23,    3.67
52.22961,21.01811,2015,01,10,    7.15,    0.75,    2.80,    6.31,    4.63,   97.48,   98.22,   11.83,    8.47,   12.48,    9.13,    6.40
52.22961,21.01811,2015,01,11,    2.89,    0.83,    1.67,    0.93,    3.72,   85.08,   98.42,    2.58,    1.92,   16.20,   12.14,    2.06
52.22961,21.01811,2015,01,12,    3.45,    1.09,    2.25,    1.71,    4.22,   93.69,   99.44,    5.47,    4.03,   12.31,    9.30,    2.36
52.22961,21.01811,2015,01,13,    6.13,    2.97,    3.94,    0.73,    4.29,   84.54,   99.63,    4.92,    3.04,   11.67,    8.33,    3.16
52.22961,21.01811,2015,01,14,    5.73,   -1.34,    2.67,    0.62,    4.02,   86.56,   99.53,    7.96,    6.43,    9.31,    6.13,    7.07
52.22961,21.01811,2015,01,15,    2.47,   -1.85,   -0.15,    0.46,    3.59,   95.21,  100.00,    5.12,    4.21,    6.58,    4.17,    4.32
52.22961,21.01811,2015,01,16,    6.13,   -0.44,    1.29,    0.00,    4.05,   96.64,   99.78,    2.66,    3.70,    8.55,    5.56,    6.57
